Transaction,Item
212,Tartine
213,Bread
214,Bread
214,Tea
214,Tea
215,Pastry
215,Coffee
216,Tartine
216,Coffee
217,Bread
217,Cookies
218,Sandwich
219,Tartine
220,Bread
220,Pastry
221,Bread
221,Scandinavian
222,Scandinavian
223,Alfajores
223,Coffee
224,Coffee
225,Coffee
225,Coke
225,Soup
226,Cake
227,Tea
227,Sandwich
227,Soup
228,Coffee
229,Hearty & Seasonal
229,Bread
230,Alfajores
231,Cake
232,Tea
232,Tea
232,Bread
233,Coffee
233,Tea
233,Bread
233,Soup
234,Coffee
234,Coffee
235,Scandinavian
236,Fudge
237,Coffee
237,Sandwich
238,Tea
238,Bread
238,Cookies
238,Pastry
239,Muffin
240,Scandinavian
241,Jam
241,Tea
242,Juice
242,Tea
242,Alfajores
243,Cake
243,Muffin
243,Coffee
243,Soup
244,Hot chocolate
244,Cake
244,Coffee
245,Cake
245,Cookies
246,Tea
246,Bread
247,Alfajores
247,Coffee
247,Coffee
247,Coffee
247,Juice
248,Coffee
248,Tea
248,Soup
249,Hot chocolate
250,Cookies
251,Coffee
251,Medialuna
252,Bread
252,Eggs
253,Scandinavian
254,Medialuna
255,Coffee
255,Coffee
255,Pastry
256,Coffee
256,Bread
257,Bread
257,Coffee
257,Pastry
257,NONE
258,Coffee
258,Pastry
259,Pastry
260,Coffee
261,Coffee
262,Coffee
262,Hot chocolate
262,Pastry
263,Coke
264,Coffee
264,Jam
265,Tea
266,NONE
266,Bread
266,Pastry
267,Coffee
267,Alfajores
267,Farm House
268,Tea
268,Pastry
269,Bread
270,Coffee
270,Jam
271,Coffee
271,Tea
271,Coffee
271,Pastry
272,Farm House
274,Coffee
274,NONE
274,Bread
274,Pastry
275,Farm House
276,Coffee
276,Coffee
276,Pastry
277,Farm House
278,Coffee
278,Pastry
279,NONE
279,Coffee
280,Coffee
280,Pastry
281,Bread
281,Bread
282,Bread
282,Coffee
282,Pastry
283,Pastry
283,Coffee
284,Coffee
284,Farm House
285,Farm House
285,Farm House
285,Pastry
286,Bread
286,Juice
286,Alfajores
287,Coffee
287,Pastry
288,Bread
288,Alfajores
289,Bread
290,Coffee
290,Cookies
291,Coffee
292,Cookies
293,Hearty & Seasonal
294,Coffee
295,Jam
295,Tartine
295,Bread
296,Farm House
296,Scandinavian
297,Hearty & Seasonal
297,Coffee
297,Muffin
297,Scandinavian
298,Tartine
298,Pick and Mix Bowls
298,NONE
298,Coffee
298,Coke
299,Bread
300,Scandinavian
300,Farm House
300,Alfajores
300,Coffee
300,Coffee
301,Juice
301,Mineral water
301,Soup
302,Soup
302,Tea
303,Juice
303,Tea
303,Cookies
303,Soup
304,Hearty & Seasonal
304,Tea
305,Fudge
306,Coffee
306,Mineral water
306,Juice
306,Soup
307,Hearty & Seasonal
308,Hearty & Seasonal
308,Smoothies
309,Hearty & Seasonal
309,Tea
310,Coffee
310,Sandwich
310,Sandwich
311,Cookies
311,Farm House
312,Soup
312,Tea
312,Juice
313,Soup
314,Coffee
316,Bread
317,Cookies
317,Tea
318,Soup
318,Hearty & Seasonal
318,Bread
319,Coffee
320,Coffee
321,Coffee
321,Tea
322,Bread
323,Tea
324,Coffee
324,Tea
325,Coffee
326,Fudge
327,Tea
328,Soup
328,Tea
329,Juice
330,Alfajores
331,Bread
332,Coffee
332,Alfajores
333,Juice
333,Alfajores
333,Cookies
333,Pick and Mix Bowls
333,Mineral water
334,Coffee
334,Alfajores
335,Fudge
336,Mighty Protein
336,Juice
337,Coffee
337,Mineral water
337,Alfajores
338,Mighty Protein
338,Coffee
339,Alfajores
340,Coffee
340,Bread
341,Medialuna
341,Medialuna
342,Medialuna
342,Bread
343,Farm House
344,Coffee
344,Pastry
345,Farm House
346,NONE
346,Coffee
346,Coffee
346,Pastry
346,Pastry
346,Coffee
347,Medialuna
348,Bread
348,NONE
348,Tea
348,Sandwich
349,Bread
350,Jam
350,Coffee
350,Farm House
351,Focaccia
352,Bread
353,Tartine
353,Pastry
353,Bread
353,My-5 Fruit Shoot
354,Farm House
354,Pastry
355,Bread
355,Pastry
356,Pastry
356,Bread
357,Jam
357,Coffee
358,Farm House
359,Bread
359,Pastry
360,Coffee
360,Tea
360,Bread
361,Jam
363,Pastry
363,Medialuna
363,Medialuna
364,Coffee
365,Tea
366,Bread
367,Bread
367,Pastry
368,Pastry
369,Farm House
370,Tea
371,Coffee
371,Brownie
371,Alfajores
371,Fudge
372,Bread
372,Fudge
372,Cookies
373,Coffee
374,Bread
375,Coffee
375,Coffee
375,Jam
375,Pastry
376,Soup
376,Coffee
377,Smoothies
377,Soup
377,Hearty & Seasonal
377,Pastry
378,Pastry
378,Bread
379,Pastry
379,Medialuna
380,NONE
380,Tea
380,Coffee
381,Bread
381,Cookies
382,Coffee
382,Coffee
382,Bread
382,Hearty & Seasonal
382,Pick and Mix Bowls
382,Sandwich
382,Focaccia
383,Coffee
384,Coffee
384,Sandwich
384,Brownie
385,Brownie
385,Cookies
386,Coffee
387,Coffee
387,NONE
388,Sandwich
388,NONE
388,Bread
388,Coffee
389,Coffee
389,Hot chocolate
390,Tea
390,NONE
391,Sandwich
391,Coffee
391,Brownie
392,Brownie
392,Pastry
392,Focaccia
392,Farm House
393,Cake
393,Focaccia
394,Soup
394,Hearty & Seasonal
394,Mineral water
395,Hearty & Seasonal
396,Hearty & Seasonal
397,Coffee
397,Coffee
397,Pastry
398,Coffee
399,Tea
399,Cake
400,Coffee
400,Soup
401,Bread
401,Focaccia
401,Fudge
402,Hot chocolate
402,Coffee
402,Alfajores
403,Brownie
403,Pastry
403,Cake
404,Medialuna
404,Alfajores
404,Dulce de Leche
405,Dulce de Leche
405,Alfajores
406,Bread
406,Cake
407,Cake
407,Coffee
408,Bread
409,Sandwich
410,Bread
410,Coffee
410,Alfajores
410,Medialuna
411,Coffee
412,Bread
412,Alfajores
413,Tea
413,Coffee
414,Bread
415,Dulce de Leche
416,Farm House
417,Fudge
418,Coffee
419,Coffee
419,Alfajores
419,Juice
419,Ella's Kitchen Pouches
419,Brownie
420,Alfajores
421,Alfajores
421,Brownie
421,Cookies
421,Bread
421,Juice
422,Cake
422,Cookies
423,Pick and Mix Bowls
424,Coffee
425,Farm House
426,Tea
427,Coffee
428,Focaccia
428,Farm House
429,Dulce de Leche
430,Juice
430,My-5 Fruit Shoot
430,Ella's Kitchen Pouches
430,Cookies
431,Bread
432,Hot chocolate
433,Coffee
435,Coffee
436,Coffee
437,Medialuna
438,Bread
438,Tea
438,Jam
439,Farm House
440,Bread
441,Coffee
441,NONE
442,Medialuna
442,Coffee
443,Bread
444,Medialuna
444,Pastry
444,Medialuna
445,Coffee
445,Coffee
445,Jam
446,Bread
446,Coffee
447,Coffee
447,Coffee
448,Bread
449,Hot chocolate
450,Bread
450,Medialuna
451,Bread
451,Jam
452,Jam
452,Bread
453,Coffee
453,Bread
454,Bread
454,Farm House
455,Bread
455,Coffee
455,Coffee
456,Tea
456,Pastry
457,Coffee
457,Coffee
458,Bread
459,Pastry
459,Brownie
460,Farm House
461,Coffee
462,Tea
462,Coffee
462,Honey
462,Cookies
463,Tea
464,Bread
465,Brownie
466,Bread
466,Coffee
467,Bread
468,Coffee
469,Tea
469,Tea
470,Tea
471,Coffee
471,Coffee
473,Bread
473,Coffee
474,Bread
474,Bread
475,Bread
475,The BART
476,Coffee
476,NONE
476,Brownie
477,Coffee
478,Coffee
478,Brownie
479,Mineral water
479,Coffee
479,Coffee
479,Tartine
479,NONE
480,Brownie
480,Coffee
481,Brownie
481,Juice
482,Coffee
482,Coffee
482,Bread
482,Tea
482,Alfajores
482,Medialuna
482,Pastry
482,Jam
483,Bread
484,Fudge
484,Fudge
485,Coffee
485,Pick and Mix Bowls
486,Pastry
486,Bread
487,Soup
487,Scandinavian
487,Coffee
487,Mineral water
488,Juice
488,Mineral water
488,Sandwich
488,Pick and Mix Bowls
489,Bread
489,NONE
489,NONE
489,Pastry
489,Bread
490,Hearty & Seasonal
490,Hearty & Seasonal
490,Coffee
490,Coffee
491,Bread
491,Hearty & Seasonal
491,Coffee
491,Mineral water
492,Coffee
492,Tartine
492,Sandwich
492,Brownie
493,Coffee
493,Brownie
494,Alfajores
494,Coffee
494,Tartine
495,Mighty Protein
495,Coffee
497,Coffee
497,Hot chocolate
498,Soup
498,Jam
498,Coffee
498,Coffee
499,Mineral water
499,Brownie
500,Scandinavian
500,Coffee
501,Scandinavian
501,Coffee
502,Coffee
502,Coffee
503,Coffee
503,Coffee
503,Hot chocolate
503,Brownie
503,Hearty & Seasonal
504,Tea
504,Cake
505,Medialuna
506,Alfajores
506,Tea
506,Coffee
507,Coffee
507,Juice
507,Brownie
507,Alfajores
508,Coffee
508,Sandwich
509,Bread
509,Soup
510,Soup
510,Bread
511,Bread
512,Tea
512,Brownie
512,Cookies
513,Coffee
513,Bread
513,Brownie
514,Brownie
515,Cookies
515,Bread
515,Jam
516,Coffee
517,Tea
517,Brownie
517,Tea
518,Alfajores
518,Medialuna
518,Scandinavian
519,Hot chocolate
519,Coffee
519,Alfajores
519,Cookies
520,Brownie
521,Fudge
522,Tea
522,Brownie
523,Dulce de Leche
523,Fudge
524,Bread
524,Scandinavian
524,Fudge
524,Granola
524,Pastry
524,Coffee
525,Bread
525,Fudge
526,Hot chocolate
526,Coffee
526,NONE
526,Medialuna
526,Medialuna
527,Bread
528,Bread
528,Medialuna
529,Bread
529,Coffee
529,Medialuna
529,Jam
530,Jam
530,Coffee
530,Brownie
531,Bread
531,Coffee
531,Jam
532,Scandinavian
533,Coffee
533,Cookies
534,Coffee
534,Coffee
534,Scandinavian
535,Bread
536,Bread
537,NONE
537,Jam
537,Brownie
537,Coffee
537,Coffee
538,Coffee
539,Brownie
539,Hot chocolate
540,Bread
541,Bread
541,Bread
541,Medialuna
542,Coffee
542,Hot chocolate
542,Brownie
543,Scandinavian
544,NONE
544,Basket
544,Bread
545,Coffee
545,Bread
545,Brownie
546,Cake
546,Fudge
547,Coffee
547,Hot chocolate
547,Coffee
547,Basket
548,Scandinavian
549,Scandinavian
550,Coffee
550,Bread
550,Coffee
550,Cake
550,Medialuna
551,Coffee
551,Coffee
551,Medialuna
552,Bread
552,Pastry
553,Bread
553,Brownie
554,Medialuna
554,Farm House
555,Bread
555,Medialuna
556,Brownie
556,Medialuna
556,Hot chocolate
556,Smoothies
556,Coffee
557,Bread
557,Tea
557,Coffee
557,Brownie
557,Medialuna
558,Medialuna
558,Medialuna
558,Cookies
559,Coffee
559,Medialuna
560,Bread
560,Fudge
562,Coffee
562,Tea
563,Coffee
563,Cookies
564,Pastry
564,Bread
564,Brownie
565,Bread
565,Coffee
565,Bread
566,NONE
566,Coffee
566,Coffee
566,Tea
567,Bread
568,Medialuna
568,Coffee
569,My-5 Fruit Shoot
569,Coffee
569,Brownie
570,Coffee
570,Fudge
571,Coffee
572,Coffee
572,Basket
573,Farm House
574,Farm House
575,Coffee
575,Brownie
576,Scandinavian
576,Brownie
576,My-5 Fruit Shoot
577,NONE
577,Tartine
577,Coffee
577,Hot chocolate
577,Brownie
578,Brownie
578,Bread
578,Hot chocolate
579,Jam
579,Fudge
580,Coffee
581,Fudge
583,Mighty Protein
583,Hearty & Seasonal
583,Coffee
583,Tea
583,Cake
584,Coffee
585,Scandinavian
586,Cake
586,Victorian Sponge
586,Scandinavian
587,Tea
587,Cake
588,Coffee
588,Coffee
589,Coffee
589,Coffee
590,Bread
591,Frittata
592,Coffee
592,Coffee
592,My-5 Fruit Shoot
592,Brownie
593,Focaccia
593,Fairy Doors
594,NONE
594,Tea
594,Coffee
594,Coffee
594,NONE
595,Hot chocolate
595,Hearty & Seasonal
595,Pick and Mix Bowls
595,Brownie
596,Frittata
596,Coffee
597,Bread
597,Brownie
598,Frittata
599,Scandinavian
600,Bread
601,Farm House
602,Pick and Mix Bowls
602,Jam
602,Soup
602,Brownie
603,Hearty & Seasonal
603,Coffee
603,Tea
604,Bread
605,Bread
605,Frittata
606,Scandinavian
608,NONE
608,Tartine
608,Hot chocolate
608,Coffee
609,Coffee
609,Mighty Protein
610,Frittata
610,Coffee
611,Scandinavian
612,Hearty & Seasonal
612,Coffee
612,Mineral water
613,Scandinavian
615,Bread
615,Coffee
616,Hearty & Seasonal
616,Soup
616,Bread
616,Coffee
617,Brownie
617,Cake
617,Tea
618,Mighty Protein
618,Coffee
620,Coffee
620,Tea
620,Brownie
620,Soup
621,Cake
622,Hot chocolate
622,Coffee
622,Cake
623,Hearty & Seasonal
623,Coffee
624,Coffee
625,Frittata
625,Coffee
625,Brownie
626,Sandwich
626,Frittata
626,Coke
626,Mineral water
626,Brownie
627,Granola
627,Scandinavian
628,Coffee
628,Coke
628,Coffee
629,Tea
629,Tea
629,Brownie
629,Cake
630,Fudge
631,Coffee
632,Brownie
633,Cake
634,Tea
635,Coffee
635,Coffee
635,Coffee
635,Soup
635,Sandwich
635,Cake
636,Coffee
636,Bread
636,Brownie
637,Bread
637,Coffee
637,Brownie
638,Coffee
638,Bread
638,Brownie
639,Brownie
639,Coffee
640,Coffee
640,Soup
640,Brownie
641,Fudge
642,Bread
642,Focaccia
643,Bread
643,Farm House
643,Jam
644,Hot chocolate
644,Brownie
645,Hot chocolate
646,Coffee
646,Brownie
647,Medialuna
647,Pastry
648,Bread
650,Coffee
650,Pastry
650,Bread
651,NONE
651,Coffee
651,Mineral water
652,Pastry
652,Bread
652,Hot chocolate
653,Bread
654,Bread
655,Jam
655,Coffee
655,Coffee
655,Bread
656,NONE
656,Coffee
656,Coffee
656,Pastry
657,NONE
657,Medialuna
657,Coffee
657,Coffee
657,Focaccia
657,Hearty & Seasonal
658,Bread
658,Farm House
658,Coffee
658,Jam
659,Farm House
660,Coffee
660,Tea
660,Pastry
660,Medialuna
661,Pastry
661,Medialuna
661,Coffee
662,Coffee
662,Hot chocolate
662,Basket
662,Farm House
663,Pastry
663,Farm House
664,Hot chocolate
664,Coffee
664,My-5 Fruit Shoot
665,Pastry
665,Medialuna
665,Muffin
666,Farm House
667,Muffin
667,Pastry
667,Focaccia
668,Coffee
668,Tea
669,Bread
670,Focaccia
671,Coffee
671,Hot chocolate
671,Pastry
671,Jam
672,Bread
673,Coffee
673,Pastry
673,Bread
674,Tea
674,NONE
675,Hot chocolate
675,Coffee
675,Mineral water
676,Coffee
676,Coffee
677,Coffee
678,NONE
678,Jam
678,Coffee
678,Coffee
680,Muffin
681,Bread
682,Bread
683,Bread
684,NONE
684,Muffin
684,Hot chocolate
684,Coffee
685,Muffin
685,Fudge
686,Bread
687,Bread
688,Farm House
689,Coffee
689,Muffin
690,Focaccia
691,Bread
691,Tea
692,Coffee
692,Hot chocolate
693,Coffee
693,Tartine
693,Coffee
693,Pick and Mix Bowls
693,Jam
695,Jam
696,Tartine
697,Bread
697,Coffee
698,Coffee
698,Coffee
698,Mineral water
698,Juice
698,Tartine
698,Pick and Mix Bowls
699,Bread
699,Tea
699,Juice
700,Coffee
700,Coffee
700,Cake
701,Farm House
702,Farm House
703,Cake
703,Brownie
703,Coffee
703,Coffee
704,Focaccia
704,Coffee
705,Tea
705,Coffee
705,Muffin
706,Coffee
707,Tea
707,Coffee
708,Hearty & Seasonal
708,Cake
708,Coffee
709,Bread
709,Tea
709,Cake
710,Mighty Protein
710,Coffee
711,Hot chocolate
711,Muffin
712,Coffee
712,Coffee
712,Soup
712,Mighty Protein
713,Jam
714,Coffee
714,Alfajores
715,Cake
715,Hot chocolate
715,Alfajores
716,Hot chocolate
716,Tea
716,Muffin
717,Brownie
718,Cake
718,Coffee
719,Victorian Sponge
719,Alfajores
719,Tea
720,Bread
721,Tartine
721,Tea
721,Tartine
722,Mighty Protein
722,Tea
723,Bread
723,Fudge
724,Medialuna
724,Tartine
724,Coffee
725,Pastry
725,Bread
726,Pastry
726,Bread
727,Coffee
727,Tea
727,Alfajores
727,Alfajores
728,Alfajores
728,Alfajores
728,Coffee
729,Coffee
729,Alfajores
730,Alfajores
730,Pastry
732,Alfajores
733,Pastry
733,Tea
733,Alfajores
733,Hearty & Seasonal
734,Tea
734,Sandwich
735,Empanadas
735,Tea
736,Alfajores
736,Alfajores
736,Tea
737,Alfajores
738,Pastry
738,Dulce de Leche
739,Coffee
739,Pastry
740,Farm House
740,Coffee
741,Bread
741,Scandinavian
741,Medialuna
742,Bread
743,Pastry
743,Tea
743,Alfajores
744,Pastry
744,Coffee
745,Bread
745,Pastry
745,Muffin
745,Farm House
746,Medialuna
746,Tea
747,Alfajores
748,Sandwich
748,Tea
749,Tea
749,Bread
750,Bread
750,Coffee
750,Pastry
751,Coffee
751,Coffee
751,Muffin
751,Alfajores
751,Empanadas
752,Coffee
753,Bread
754,Coffee
755,Coffee
756,Bread
757,Bread
757,Pastry
757,Medialuna
757,Tea
758,Tea
758,Bread
759,Muffin
760,Coffee
760,Muffin
761,Coffee
761,Bread
761,Pastry
761,Medialuna
762,Coffee
762,Coffee
762,Muffin
763,Muffin
763,Hot chocolate
763,Scandinavian
763,Bread
764,Farm House
765,Muffin
766,Coffee
767,Bread
768,Coffee
768,Coffee
768,Cookies
769,Coffee
769,Coffee
770,Muffin
771,Coffee
771,Tea
771,Keeping It Local
772,Coffee
772,Medialuna
773,Bread
774,Tartine
774,Scandinavian
775,Coffee
775,Tea
776,Bread
777,Coffee
777,Coke
778,Coffee
778,Muffin
779,Coffee
779,Bread
779,Coffee
779,Medialuna
779,Muffin
779,Scandinavian
780,Bread
781,Coke
782,Bread
782,Scandinavian
783,Coffee
784,Bread
785,Scandinavian
785,Bread
786,Fudge
786,Fudge
787,Soup
787,Hearty & Seasonal
787,Coffee
788,Coke
789,NONE
789,Coffee
789,Cookies
789,Tea
790,Pastry
790,Tea
790,Coffee
791,Bread
792,Coffee
792,Medialuna
793,Coffee
793,Coffee
793,Muffin
793,Sandwich
793,Soup
794,Tea
794,Coffee
794,Muffin
795,Alfajores
796,Bread
797,Coffee
797,Medialuna
798,Coffee
799,Coffee
800,Medialuna
802,Empanadas
802,Bread
802,Scandinavian
803,Coffee
803,Tartine
804,Tea
805,Scandinavian
806,Muffin
807,Scandinavian
807,Bread
808,Bread
809,Coffee
810,Bread
811,Bread
812,Coffee
812,Coffee
813,Cookies
813,Scandinavian
814,Coffee
814,Bread
814,Empanadas
814,Medialuna
815,Coffee
815,Pastry
816,Bread
817,Pastry
817,Tea
818,Coffee
818,Coffee
818,Pastry
819,Coffee
819,Bread
820,Coffee
820,Keeping It Local
821,Fudge
822,NONE
822,Tartine
822,Coffee
822,Coffee
824,Hot chocolate
824,Coffee
824,Pastry
824,Medialuna
825,Alfajores
825,Coffee
826,Coffee
828,Coffee
828,Coffee
828,Medialuna
829,Coke
830,Coffee
830,Coffee
830,Alfajores
831,Muffin
832,Farm House
832,Brownie
832,Fudge
833,Coffee
833,Coffee
834,Tea
834,Muffin
834,Farm House
835,Coffee
835,Pastry
836,Pastry
836,Brownie
837,Medialuna
838,Coffee
839,Pastry
839,Coffee
839,Juice
840,Coffee
840,Bread
841,Tea
841,Coffee
842,Tea
842,Alfajores
843,Alfajores
843,Coffee
844,Scandinavian
845,Pastry
845,Medialuna
846,Brownie
847,Farm House
848,Coffee
848,Cookies
849,Soup
850,Art Tray
850,Coffee
850,Coffee
850,Brownie
851,Coffee
852,Farm House
853,Soup
853,Art Tray
853,Alfajores
853,Frittata
854,Sandwich
854,Coffee
855,Tea
856,Farm House
857,Scandinavian
857,Muffin
858,Farm House
859,Scandinavian
860,Soup
861,Hearty & Seasonal
861,Tea
861,Bread
862,Hot chocolate
863,Coffee
863,Sandwich
863,Hearty & Seasonal
864,Brownie
864,Hearty & Seasonal
864,Sandwich
864,Coffee
865,Medialuna
865,Coffee
866,Coffee
866,Brownie
866,Soup
867,Sandwich
867,Sandwich
867,Alfajores
867,Alfajores
867,Focaccia
868,Farm House
868,Tartine
869,Bread
870,Coffee
871,Hot chocolate
871,Tea
871,Muffin
872,Pastry
873,Coffee
873,Brownie
873,Hearty & Seasonal
873,Soup
873,Bowl Nic Pitt
874,Coffee
875,Alfajores
875,Medialuna
875,Scandinavian
875,Farm House
876,Soup
876,Coffee
877,Tea
877,Tea
878,Coffee
878,Tea
878,Cookies
879,Tea
879,Muffin
880,Coffee
880,Coffee
880,Brownie
881,Coffee
882,Coffee
883,Coffee
884,Farm House
885,Coffee
885,Bread Pudding
886,Coffee
886,Medialuna
887,Hot chocolate
888,Coffee
888,Hot chocolate
888,Farm House
889,Pastry
889,Coffee
890,Bread
891,Pastry
891,Coffee
892,Coffee
892,Coffee
893,Coffee
893,Pastry
894,Farm House
895,Bread
896,Coffee
896,Hot chocolate
897,Bread
898,Coffee
898,Focaccia
898,Coffee
898,Medialuna
898,Bread
899,Coffee
900,Bread
900,Keeping It Local
901,Bread
901,Coffee
902,Bread
902,NONE
903,Bread
903,Medialuna
904,Coffee
905,Coffee
905,Coffee
905,Medialuna
906,Coffee
906,Cookies
906,Tartine
907,Tea
907,Bread
908,Bread
908,Keeping It Local
908,Coffee
909,Coffee
909,Medialuna
910,Coffee
910,Medialuna
911,Tea
912,Juice
912,Coke
912,Soup
913,Bread
914,Brownie
915,Brownie
915,Bread
915,Coffee
916,Coffee
916,Pastry
916,Bread
916,Hearty & Seasonal
917,Bread
917,Coffee
917,Brownie
918,Coffee
919,Bread
919,Cookies
920,Fudge
920,Eggs
